player_name,draft_class,g,gs,mp_per_g,fg_per_g,fga_per_g,fg_pct,fg2_per_g,fg2a_per_g,fg2_pct,fg3_per_g,fg3a_per_g,fg3_pct,ft_per_g,fta_per_g,ft_pct,orb_per_g,drb_per_g,trb_per_g,ast_per_g,stl_per_g,blk_per_g,tov_per_g,pf_per_g,pts_per_g,sos,mp,fg_per_min,fga_per_min,fg2_per_min,fg2a_per_min,fg3_per_min,fg3a_per_min,ft_per_min,fta_per_min,trb_per_min,ast_per_min,stl_per_min,blk_per_min,tov_per_min,pf_per_min,pts_per_min,fg_per_poss,fga_per_poss,fg2_per_poss,fg2a_per_poss,fg3_per_poss,fg3a_per_poss,ft_per_poss,fta_per_poss,trb_per_poss,ast_per_poss,stl_per_poss,blk_per_poss,tov_per_poss,pf_per_poss,pts_per_poss,off_rtg,def_rtg,per,ts_pct,efg_pct,fg3a_per_fga_pct,fta_per_fga_pct,pprod,orb_pct,drb_pct,trb_pct,ast_pct,stl_pct,blk_pct,tov_pct,usg_pct,ows,dws,ws,ws_per_40,obpm,dbpm,bpm
Harrison Ingram,2022,32.0,30.0,31.1,3.7,9.6,0.388,2.6,6.0,0.432,1.1,3.6,0.313,2.0,3.0,0.663,1.8,4.9,6.7,3.0,0.9,0.3,2.3,1.7,10.5,8.59,995.0,4.8,12.3,3.3,7.7,1.4,4.6,2.5,3.8,8.6,3.9,1.2,0.3,2.9,2.2,13.5,7.2,18.5,5.0,11.6,2.2,6.9,3.8,5.7,12.9,5.8,1.8,0.5,4.3,3.2,20.3,100.6,103.0,14.9,0.479,0.446,0.375,0.309,362.0,6.9,19.1,12.9,20.3,1.8,0.9,17.0,21.8,1.1,1.2,2.3,0.094,2.2,1.3,3.4
Christian Braun,2022,40.0,39.0,34.4,5.2,10.5,0.495,3.9,7.2,0.545,1.3,3.3,0.386,2.5,3.4,0.733,1.4,5.1,6.5,2.8,1.0,0.8,2.0,1.8,14.1,11.3,1374.0,6.0,12.2,4.5,8.3,1.5,3.8,2.9,3.9,7.6,3.2,1.1,1.0,2.4,2.1,16.4,8.7,17.5,6.5,12.0,2.1,5.5,4.1,5.7,10.9,4.6,1.6,1.4,3.4,3.1,23.6,116.5,96.9,19.6,0.585,0.556,0.316,0.323,551.0,4.9,16.0,10.8,14.5,1.6,2.5,14.4,20.4,3.5,2.5,6.0,0.174,5.6,3.3,9.0
Max Christie,2022,35.0,35.0,30.8,3.2,8.4,0.382,2.1,4.9,0.429,1.1,3.5,0.317,1.7,2.1,0.824,0.9,2.6,3.5,1.5,0.5,0.5,1.5,1.1,9.3,9.96,1078.0,4.2,10.9,2.7,6.3,1.4,4.6,2.3,2.7,4.5,1.9,0.7,0.6,1.9,1.4,12.0,6.1,16.0,4.0,9.3,2.1,6.7,3.3,4.0,6.6,2.8,1.0,0.9,2.8,2.1,17.7,99.9,107.8,10.5,0.494,0.449,0.42,0.253,309.0,3.4,9.2,6.4,8.6,1.0,1.7,13.7,18.1,0.9,0.8,1.7,0.063,0.8,1.1,1.9
Josh Minott,2022,33.0,5.0,14.6,2.5,4.8,0.522,2.5,4.4,0.559,0.1,0.4,0.143,1.5,2.0,0.754,1.6,2.2,3.8,0.9,0.8,0.7,0.9,1.8,6.6,7.86,483.0,6.9,13.2,6.7,12.0,0.2,1.2,4.1,5.4,10.3,2.6,2.2,1.8,2.6,4.8,18.0,9.7,18.5,9.4,16.9,0.2,1.6,5.7,7.6,14.5,3.6,3.1,2.6,3.6,6.8,25.3,117.6,93.7,23.7,0.571,0.528,0.088,0.409,215.0,12.9,15.7,14.4,12.8,3.1,5.4,14.0,21.9,1.4,1.0,2.4,0.199,3.8,3.4,7.2
Jaylin Williams,2022,37.0,35.0,31.6,3.8,8.3,0.461,3.4,6.4,0.527,0.5,1.9,0.239,2.8,3.8,0.729,1.5,8.3,9.8,2.6,1.3,1.1,1.8,2.6,10.9,8.62,1171.0,4.9,10.5,4.3,8.1,0.6,2.4,3.5,4.8,12.4,3.2,1.6,1.4,2.3,3.3,13.8,6.7,14.6,5.9,11.2,0.8,3.4,4.8,6.6,17.3,4.5,2.3,1.9,3.2,4.7,19.1,108.9,89.3,18.9,0.538,0.489,0.231,0.455,417.0,5.3,29.3,17.2,15.3,2.3,4.0,15.2,18.2,1.9,3.0,4.9,0.167,2.7,5.2,7.9
Justin Lewis,2022,32.0,32.0,32.2,6.1,13.8,0.44,4.3,8.7,0.495,1.8,5.2,0.349,2.8,3.7,0.761,1.2,6.8,7.9,1.7,1.1,0.6,1.9,2.2,16.8,8.96,1030.0,7.6,17.2,5.3,10.8,2.3,6.4,3.5,4.5,9.9,2.1,1.4,0.8,2.4,2.7,20.9,10.6,24.0,7.4,15.0,3.1,9.0,4.8,6.4,13.8,2.9,1.9,1.1,3.4,3.7,29.1,103.8,97.6,19.9,0.539,0.506,0.375,0.264,488.0,4.2,21.6,13.4,11.0,1.9,2.0,11.1,27.5,1.8,1.8,3.6,0.138,3.9,1.3,5.2
Peyton Watson,2022,32.0,0.0,12.7,1.2,3.7,0.322,1.0,2.7,0.356,0.2,1.0,0.226,0.7,1.0,0.688,0.9,2.0,2.9,0.8,0.6,0.6,0.9,1.6,3.3,8.36,405.0,3.8,11.7,3.1,8.6,0.7,3.1,2.2,3.2,9.1,2.6,1.9,1.9,3.0,5.0,10.4,5.6,17.5,4.6,12.9,1.0,4.6,3.3,4.8,13.7,3.9,2.8,2.8,4.5,7.6,15.6,85.6,91.6,11.2,0.394,0.352,0.263,0.271,120.0,8.1,18.7,13.3,11.0,2.8,5.5,18.4,20.8,-0.2,0.9,0.8,0.074,-2.7,3.8,1.1
JD Davison,2022,33.0,5.0,25.8,3.0,6.5,0.463,2.2,4.0,0.565,0.8,2.5,0.301,1.8,2.5,0.728,1.1,3.7,4.8,4.3,1.0,0.4,2.9,1.2,8.5,11.59,852.0,4.6,10.0,3.5,6.2,1.2,3.9,2.8,3.8,7.4,6.7,1.5,0.6,4.5,1.9,13.2,6.3,13.7,4.7,8.4,1.6,5.3,3.8,5.2,10.1,9.2,2.1,0.8,6.1,2.6,18.1,104.5,105.4,16.0,0.558,0.521,0.388,0.379,333.0,4.5,15.2,9.8,29.4,2.1,1.4,27.3,18.8,1.2,0.8,2.1,0.097,3.3,1.9,5.2
Jabari Walker,2022,33.0,33.0,28.1,4.8,10.5,0.461,3.8,7.4,0.51,1.1,3.2,0.346,3.8,4.9,0.784,2.1,7.3,9.4,1.2,0.7,0.7,2.3,2.5,14.6,6.15,928.0,6.9,15.0,5.3,10.5,1.6,4.5,5.5,7.0,13.4,1.8,1.0,0.9,3.3,3.6,20.8,10.1,21.9,7.8,15.3,2.3,6.6,8.0,10.2,19.5,2.6,1.5,1.4,4.8,5.2,30.5,109.8,93.8,23.0,0.57,0.513,0.3,0.467,456.0,8.9,29.3,19.5,10.0,1.5,2.6,15.2,27.6,2.3,2.0,4.3,0.185,3.8,1.8,5.7
Kris Murray,2022,35.0,1.0,17.9,3.5,7.4,0.479,2.3,4.2,0.547,1.2,3.2,0.387,1.4,2.2,0.645,1.6,2.7,4.3,1.1,0.8,0.9,0.8,2.5,9.7,6.87,628.0,7.9,16.5,5.2,9.4,2.7,7.1,3.1,4.8,9.5,2.4,1.8,2.0,1.7,5.5,21.7,11.2,23.5,7.3,13.4,3.9,10.1,4.4,6.9,13.5,3.4,2.6,2.8,2.4,7.9,30.8,122.2,97.8,26.1,0.576,0.562,0.429,0.293,320.0,9.5,16.6,13.0,10.9,2.6,5.2,8.4,24.9,2.3,1.1,3.4,0.217,6.5,2.6,9.1
